=== SINGLE-PASS EXPORT: Part 3 ===
  Ticks: 300000, Seed: 271
  Frame interval: every 4 ticks
  Timeline sample: every 100 ticks
  Config: spread=8.0, sensors=6ips, actions=3, max_age=15000
  Part 3 features: muscle_speed=True, bone_reach=True, seasons=True, kin_recognition=True, attack_dmg=15.0
  Output: C:\Users\shane\primordial\..\shaneconner-site\data\full-frames-p3

  Tick    1000: pop=175, species=39, gen=  6, frames=   250, events=  51, 21 t/s
  Tick   73000: pop=182, species=29, gen=131, frames= 18250, events=5788, 7 t/s
  Tick   74000: pop=168, species=30, gen=132, frames= 18500, events=5853, 7 t/s
  Tick   75000: pop=185, species=25, gen=134, frames= 18750, events=5916, 7 t/s
  Tick   76000: pop=158, species=28, gen=134, frames= 19000, events=5972, 7 t/s
  Tick   77000: pop=129, species=32, gen=136, frames= 19250, events=6023, 7 t/s
  Tick   78000: pop=138, species=33, gen=135, frames= 19500, events=6063, 7 t/s
  Tick   79000: pop=179, species=35, gen=137, frames= 19750, events=6115, 7 t/s
  Tick   80000: pop=182, species=31, gen=137, frames= 20000, events=6169, 7 t/s
  Tick   81000: pop=222, species=48, gen=137, frames= 20250, events=6244, 7 t/s
  Tick   82000: pop=206, species=36, gen=137, frames= 20500, events=6318, 7 t/s
  Tick   83000: pop=232, species=50, gen=138, frames= 20750, events=6412, 7 t/s
  Tick   84000: pop=249, species=38, gen=139, frames= 21000, events=6499, 7 t/s
  Tick   85000: pop=225, species=36, gen=138, frames= 21250, events=6574, 7 t/s
  Tick   86000: pop=202, species=25, gen=139, frames= 21500, events=6634, 7 t/s
  Tick   87000: pop=171, species=30, gen=140, frames= 21750, events=6689, 7 t/s
  Tick   88000: pop=184, species=24, gen=132, frames= 22000, events=6741, 7 t/s
  Tick   89000: pop=160, species=23, gen=132, frames= 22250, events=6792, 7 t/s
  Tick   90000: pop=198, species=28, gen=134, frames= 22500, events=6865, 7 t/s
  Tick   91000: pop=209, species=41, gen=136, frames= 22750, events=6934, 7 t/s
  Tick   92000: pop=212, species=32, gen=134, frames= 23000, events=7001, 7 t/s
  Tick   93000: pop=226, species=40, gen=134, frames= 23250, events=7085, 7 t/s
  Tick   94000: pop=216, species=30, gen=137, frames= 23500, events=7151, 7 t/s
  Tick   95000: pop=205, species=31, gen=133, frames= 23750, events=7229, 7 t/s
  Tick   96000: pop=211, species=29, gen=135, frames= 24000, events=7290, 7 t/s
  Tick   97000: pop=175, species=20, gen=138, frames= 24250, events=7356, 7 t/s
  Tick   98000: pop=163, species=22, gen=138, frames= 24500, events=7402, 7 t/s
  Tick   99000: pop=184, species=21, gen=137, frames= 24750, events=7449, 7 t/s
  Tick  100000: pop=180, species=19, gen=137, frames= 25000, events=7506, 7 t/s
  Tick  101000: pop=161, species=14, gen=138, frames= 25250, events=7554, 7 t/s
  Tick  102000: pop=170, species=26, gen=139, frames= 25500, events=7608, 7 t/s
  Tick  103000: pop=207, species=36, gen=140, frames= 25750, events=7659, 7 t/s
  Tick  104000: pop=235, species=34, gen=141, frames= 26000, events=7727, 7 t/s
  Tick  105000: pop=222, species=37, gen=142, frames= 26250, events=7799, 7 t/s
  Tick  106000: pop=220, species=34, gen=142, frames= 26500, events=7862, 7 t/s
  Tick  107000: pop=183, species=30, gen=142, frames= 26750, events=7939, 7 t/s
  Tick  108000: pop=192, species=25, gen=145, frames= 27000, events=7997, 7 t/s
  Tick  109000: pop=203, species=27, gen=147, frames= 27250, events=8059, 7 t/s
  Tick  110000: pop=233, species=27, gen=144, frames= 27500, events=8122, 7 t/s
  Tick  111000: pop=242, species=29, gen=146, frames= 27750, events=8190, 7 t/s
  Tick  112000: pop=251, species=35, gen=147, frames= 28000, events=8281, 7 t/s
  Tick  113000: pop=243, species=25, gen=146, frames= 28250, events=8351, 7 t/s
  Tick  114000: pop=244, species=36, gen=146, frames= 28500, events=8438, 7 t/s
  Tick  115000: pop=234, species=27, gen=148, frames= 28750, events=8512, 7 t/s
  Tick  116000: pop=226, species=28, gen=148, frames= 29000, events=8587, 7 t/s
  Tick  117000: pop=202, species=25, gen=149, frames= 29250, events=8654, 7 t/s
  Tick  118000: pop=201, species=30, gen=150, frames= 29500, events=8714, 7 t/s
  Tick  119000: pop=203, species=27, gen=153, frames= 29750, events=8770, 7 t/s
  Tick  120000: pop=212, species=34, gen=155, frames= 30000, events=8832, 7 t/s
  Tick  121000: pop=230, species=30, gen=156, frames= 30250, events=8891, 7 t/s
  Tick  122000: pop=193, species=30, gen=157, frames= 30500, events=8948, 7 t/s
  Tick  123000: pop=185, species=27, gen=159, frames= 30750, events=9011, 7 t/s
  Tick  124000: pop=234, species=37, gen=161, frames= 31000, events=9075, 7 t/s
  Tick  125000: pop=253, species=37, gen=162, frames= 31250, events=9146, 7 t/s
  Tick  126000: pop=251, species=31, gen=163, frames= 31500, events=9204, 7 t/s
  Tick  127000: pop=213, species=39, gen=163, frames= 31750, events=9281, 7 t/s
  Tick  128000: pop=201, species=34, gen=164, frames= 32000, events=9331, 7 t/s
  Tick  129000: pop=177, species=32, gen=165, frames= 32250, events=9388, 7 t/s
  Tick  130000: pop=178, species=40, gen=165, frames= 32500, events=9446, 7 t/s
  Tick  131000: pop=224, species=36, gen=166, frames= 32750, events=9487, 7 t/s
  Tick  132000: pop=221, species=41, gen=167, frames= 33000, events=9554, 7 t/s
  Tick  133000: pop=221, species=47, gen=167, frames= 33250, events=9618, 7 t/s
  Tick  134000: pop=209, species=32, gen=167, frames= 33500, events=9662, 7 t/s
  Tick  135000: pop=194, species=32, gen=166, frames= 33750, events=9710, 7 t/s
  Tick  136000: pop=166, species=35, gen=166, frames= 34000, events=9760, 7 t/s
  Tick  137000: pop=144, species=35, gen=167, frames= 34250, events=9802, 7 t/s
  Tick  138000: pop=126, species=27, gen=168, frames= 34500, events=9834, 7 t/s
  Tick  139000: pop=145, species=26, gen=167, frames= 34750, events=9864, 7 t/s
  Tick  140000: pop=179, species=21, gen=168, frames= 35000, events=9902, 7 t/s
  Tick  141000: pop=184, species=27, gen=169, frames= 35250, events=9950, 7 t/s
  Tick  142000: pop=204, species=30, gen=169, frames= 35500, events=10002, 7 t/s
  Tick  143000: pop=181, species=27, gen=171, frames= 35750, events=10063, 7 t/s
  Tick  144000: pop=154, species=32, gen=174, frames= 36000, events=10110, 7 t/s
  Tick  145000: pop=136, species=28, gen=171, frames= 36250, events=10149, 7 t/s
  Tick  146000: pop=124, species=24, gen=171, frames= 36500, events=10183, 7 t/s
  Tick  147000: pop=135, species=23, gen=173, frames= 36750, events=10209, 7 t/s
  Tick  148000: pop=136, species=21, gen=174, frames= 37000, events=10239, 7 t/s
  Tick  149000: pop=138, species=23, gen=173, frames= 37250, events=10270, 7 t/s
  Tick  150000: pop=135, species=30, gen=174, frames= 37500, events=10311, 7 t/s
  Tick  151000: pop=141, species=25, gen=162, frames= 37750, events=10337, 7 t/s
  Tick  152000: pop=168, species=27, gen=164, frames= 38000, events=10388, 7 t/s
  Tick  153000: pop=181, species=26, gen=166, frames= 38250, events=10428, 7 t/s
  Tick  154000: pop=171, species=27, gen=166, frames= 38500, events=10467, 7 t/s
  Tick  155000: pop=149, species=25, gen=165, frames= 38750, events=10495, 7 t/s
  Tick  156000: pop=127, species=20, gen=168, frames= 39000, events=10516, 7 t/s
  Tick  157000: pop= 98, species=18, gen=159, frames= 39250, events=10546, 7 t/s
  Tick  158000: pop=104, species=19, gen=158, frames= 39500, events=10567, 7 t/s
  Tick  159000: pop=112, species=18, gen=157, frames= 39750, events=10585, 7 t/s
  Tick  160000: pop=130, species=20, gen=159, frames= 40000, events=10612, 7 t/s
  Tick  161000: pop=171, species=19, gen=160, frames= 40250, events=10642, 7 t/s
  Tick  162000: pop=183, species=21, gen=164, frames= 40500, events=10684, 7 t/s
  Tick  163000: pop=195, species=24, gen=164, frames= 40750, events=10725, 7 t/s
  Tick  164000: pop=180, species=25, gen=165, frames= 41000, events=10782, 7 t/s
  Tick  165000: pop=153, species=25, gen=166, frames= 41250, events=10824, 7 t/s
  Tick  166000: pop=142, species=21, gen=169, frames= 41500, events=10855, 7 t/s
  Tick  167000: pop=132, species=19, gen=170, frames= 41750, events=10885, 7 t/s
  Tick  168000: pop=109, species=22, gen=168, frames= 42000, events=10910, 7 t/s
  Tick  169000: pop=103, species=18, gen=171, frames= 42250, events=10925, 7 t/s
